ID,NAME,Host_ID,Host_identity_verified,Host_name,Neighbourhood_group,Neighbourhood,Latitude,Longditude,Country,Country_Code,instant_bookable,Cancellation_policy,Room_Type,Construction_year,Price,Service_fee,Minimum_nights,Number_of_reviews,Last_review,Reviews_per_month,Review_rate_number,Calculated_host_listings_count,Availability_365,House_rules,License
2360546,Stuyvesant Heights Apt mins 2 City,3186487847,verified,Ryan,Brooklyn,Bedford-Stuyvesant,40.68185,-73.94108,United States,US,FALSE,flexible,Private room,2011,50,10,3,13,8/18/2017,0.26,1,2,68,,
5693125,Private Room in Williamsburg Apt,7170817633,unconfirmed,Emeka,Brooklyn,Williamsburg,40.71145,-73.95302,United States,US,FALSE,strict,Private room,2010,50,10,2,1,6/16/2015,0.02,2,1,7,,
5985844,Perfect Spot while visiting NYC,70838682495,unconfirmed,Chris,Manhattan,East Harlem,40.79721,-73.94328,United States,US,TRUE,strict,Entire home/apt,2021,50,10,3,6,8/25/2017,0.13,3,2,81,,
7479815,"Gorgeous, Cozy Studio w/ Projector!",40963832458,verified,Cathy,Manhattan,East Village,40.7281,-73.97952,United States,US,FALSE,strict,Entire home/apt,2006,50,10,5,3,1/13/2018,0.07,3,1,391,"House Rules include no smoking, no illegal drugs, no pets, no entertaining others. Please be respectful of your wonderful neighbors while in the apartment.",
1530992,Great apt on the UWS - A RARE FIND!,17916840650,unconfirmed,Wilson,Manhattan,Upper West Side,40.78161,-73.97898,United States,US,TRUE,moderate,Entire home/apt,2009,50,10,3,22,4/14/2017,0.25,3,1,408,No Smoking No Pets,
1200164,"MANHATTAN Neat, Nice, Bright ROOM",81492867264,verified,Phillips,Manhattan,Washington Heights,40.85295,-73.93361,United States,US,FALSE,flexible,Private room,2021,50,10,2,136,6/17/2019,1.37,4,1,312,"Please be respectful of my things! I have a lot of stuff that I have collected over the years. Absolutely NO smoking. This is a really relaxing space and the neighbors are all really cool. -Pets are allowed -If you cook, please clean after yourself and make proper use of the garbage disposal.",
1917049,"Big, close to subway, 3 stops from the city",19719126508,verified,Dana,Queens,Astoria,40.75583,-73.91839,United States,US,FALSE,flexible,Entire home/apt,2006,50,10,3,17,3/15/2019,0.31,1,1,76,,
4385278,Stunning room. 15mins to Manhattan!,70870505250,unconfirmed,Natasha,Brooklyn,Bedford-Stuyvesant,40.68622,-73.92508,United States,US,FALSE,moderate,Private room,2013,51,10,30,2,4/28/2015,0.04,1,4,380,,
5735099,"Private Bed, Bath & Patio in prime Williamsburg !",64942258557,verified,Rosie,Brooklyn,Williamsburg,40.71684,-73.95907,United States,US,FALSE,flexible,Private room,2007,51,10,1,48,12/27/2018,2.17,2,1,179,No kitchen access. No wifi - I do have a hot spot. No key given to you. No extra guest allowed.,
7114192,Reno'ed 2bed/2bath walk-up~East Village~Pristine!,92596068861,unconfirmed,Nick,Manhattan,East Village,40.72828,-73.98602,United States,US,TRUE,moderate,Entire home/apt,2020,51,10,2,95,6/22/2019,2.17,4,1,225,"This is our home, not a hotel so we expect guests to leave it as clean as they found it.  No smoking in the house. No pets are allowed.",
3943438,"2BR, Heart of Lower East Side",60608313191,verified,Ryan,Manhattan,Lower East Side,40.72174,-73.98501,United States,US,FALSE,moderate,Entire home/apt,2019,51,10,1,8,6/19/2015,0.13,3,1,294,"All guests must observe the following house rules: The hallways are narrow. Take care not to make marks or scratches from suitcases on the walls. Towels for the Rainbow Room are gray and can be found in the small night white nightstand next to the desk. Towels for the Marble Room are white and can be found in the closet. Beach, hand, and face towels are in the hallway mirrored dresser. Each bathroom has a hairdryer. No smoking anywhere on the premises or around the building.  The guest must keep the room clean. Please dispose of the garbage can bag upon checkout and leave the used towels and sheets in the hamper. Food is not allowed in rooms. Do not leave any food items or personal belongings in the  Guests may NOT place hot pans or cooking items on the marble counters without a trivet. Hot items may damage the counters and will be deducted from the security deposit.  Please ensure when you leave the property to place all dirty towels in the hampers provided in your closet. When using ",
6238797,Sunny Double Room,88609980974,unconfirmed,Caroline,Brooklyn,Bedford-Stuyvesant,40.69294,-73.94666,United States,US,FALSE,strict,Private room,2013,52,10,1,3,1/15/2017,0.07,2,10,273,,
2452228,Sunny Brooklyn Artists' Enclave! *huge room!*,98378712387,verified,Tyler,Brooklyn,Bedford-Stuyvesant,40.68732,-73.93004,United States,US,TRUE,moderate,Private room,2006,52,10,7,2,6/21/2019,1,4,1,262,,
6263650,Charming Old-School Apartment 2,6332327920,verified,Benjamin,Brooklyn,Clinton Hill,40.69387,-73.96841,United States,US,FALSE,flexible,Private room,2009,52,10,2,42,8/14/2017,0.87,5,1,54,,
1972279,Brooklyn two bedroom,81074156428,verified,David,Brooklyn,Windsor Terrace,40.65954,-73.97805,United States,US,FALSE,moderate,Entire home/apt,2007,52,10,265,20,7/27/2018,0.32,5,2,123,,
1947426,Fantastic East Village Location!,337503784,unconfirmed,Michelle,Manhattan,East Village,40.72578,-73.98448,United States,US,TRUE,flexible,Private room,2018,52,10,4,12,6/23/2019,0.16,1,1,25,No smoking. No hosting visitors in-house.,
8013889,LARGE TRIBECA LOFT WITH ROOF DECK,42296341460,unconfirmed,Joshua,Manhattan,Tribeca,40.72117,-74.00592,United States,US,TRUE,strict,Entire home/apt,2014,52,10,1,1,12/24/2015,0.02,1,1,150,,
