ID,Latitude,Longitude,poi,lat,long,distance
1003689,40.79851,-73.94399,Statue of Liberty,40.6891078,-74.0440954,
1004098,40.74767,-73.975,Statue of Liberty,40.6891078,-74.0440954,
1005754,40.76489,-73.98493,Statue of Liberty,40.6891078,-74.0440954,
1006307,40.80178,-73.96723,Statue of Liberty,40.6891078,-74.0440954,
1007411,40.80316,-73.96545,Statue of Liberty,40.6891078,-74.0440954,
1007964,40.76076,-73.98867,Statue of Liberty,40.6891078,-74.0440954,
1022323,40.70186,-73.92745,Statue of Liberty,40.6891078,-74.0440954,
1024533,40.66278,-73.97966,Statue of Liberty,40.6891078,-74.0440954,
1025637,40.79009,-73.97927,Statue of Liberty,40.6891078,-74.0440954,
1032265,40.70881,-73.9593,Statue of Liberty,40.6891078,-74.0440954,
1037236,40.69,-73.96788,Statue of Liberty,40.6891078,-74.0440954,
1038340,40.67343,-73.98338,Statue of Liberty,40.6891078,-74.0440954,
1039445,40.70933,-73.96792,Statue of Liberty,40.6891078,-74.0440954,
1039997,40.72298,-73.98474,Statue of Liberty,40.6891078,-74.0440954,
1047729,40.65401,-73.96323,Statue of Liberty,40.6891078,-74.0440954,
1049938,40.72334,-73.9844,Statue of Liberty,40.6891078,-74.0440954,
1060984,40.71459,-73.94844,Statue of Liberty,40.6891078,-74.0440954,
1061537,40.8092,-73.94421,Statue of Liberty,40.6891078,-74.0440954,
1062089,40.68157,-73.98989,Statue of Liberty,40.6891078,-74.0440954,
1073135,40.81618,-73.94894,Statue of Liberty,40.6891078,-74.0440954,
1074240,40.72392,-73.99143,Statue of Liberty,40.6891078,-74.0440954,
1074792,40.73494,-73.9503,Statue of Liberty,40.6891078,-74.0440954,
1075344,40.71341,-73.98856,Statue of Liberty,40.6891078,-74.0440954,
1075897,40.76754,-73.98399,Statue of Liberty,40.6891078,-74.0440954,
1083629,40.71165,-73.96087,Statue of Liberty,40.6891078,-74.0440954,
1084181,40.69101,-73.97312,Statue of Liberty,40.6891078,-74.0440954,
1084733,40.73474,-74.00101,Statue of Liberty,40.6891078,-74.0440954,
1085838,40.71536,-73.96057,Statue of Liberty,40.6891078,-74.0440954,
1097989,40.70666,-74.01374,Statue of Liberty,40.6891078,-74.0440954,
1099645,40.81526,-73.94791,Statue of Liberty,40.6891078,-74.0440954,
1100198,40.73423,-74.0046,Statue of Liberty,40.6891078,-74.0440954,
1100750,40.82374,-73.9373,Statue of Liberty,40.6891078,-74.0440954,
1101302,40.68863,-73.97691,Statue of Liberty,40.6891078,-74.0440954,
1109035,40.72319,-73.99201,Statue of Liberty,40.6891078,-74.0440954,
1110139,40.67252,-73.76597,Statue of Liberty,40.6891078,-74.0440954,
1121185,40.729,-73.95829,Statue of Liberty,40.6891078,-74.0440954,
1123394,40.72821,-73.98701,Statue of Liberty,40.6891078,-74.0440954,
1124499,40.73012,-73.99053,Statue of Liberty,40.6891078,-74.0440954,
1125051,40.7403,-73.98498,Statue of Liberty,40.6891078,-74.0440954,
1125604,40.80931,-73.94343,Statue of Liberty,40.6891078,-74.0440954,
1126708,40.6585,-73.98397,Statue of Liberty,40.6891078,-74.0440954,
1128917,40.73401,-73.95967,Statue of Liberty,40.6891078,-74.0440954,
1133336,40.72654,-73.98049,Statue of Liberty,40.6891078,-74.0440954,
1133888,40.80021,-73.96071,Statue of Liberty,40.6891078,-74.0440954,
1135545,40.74358,-74.00027,Statue of Liberty,40.6891078,-74.0440954,
1136650,40.71445,-73.9908,Statue of Liberty,40.6891078,-74.0440954,
1137202,40.75749,-73.96897,Statue of Liberty,40.6891078,-74.0440954,
1142725,40.70763,-73.95177,Statue of Liberty,40.6891078,-74.0440954,
1143829,40.75384,-73.91433,Statue of Liberty,40.6891078,-74.0440954,
